,accommodation_id,accommodation_name,airbnb_account_id,accommodation_link,channel_name,local_status,publishment_status,alert,sync_alert,rejection_alert,warning_alert,review_count,review_value,cleanliness_value,location_value,truthfulness_value,checkin_value,communication_value
0,302726,A306 (Zona2),573192868,airbnb.com.br/rooms/1152158657234688324,airbnb,True,active,2,,False,,13,4.5,4.4,4.8,4.6,4.7,4.6
1,303438,A923 (Zona2),573192722,airbnb.com.br/rooms/1410160615069249851,airbnb,True,error,2,,True,,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2,303660,PM203 (Zona1),66039372,airbnb.com.br/rooms/30067041,airbnb,True,active,0,,False,,63,4.6,4.7,5.0,4.7,4.7,4.7
3,303870,J801 (Zona1),66039372,airbnb.com.br/rooms/38044075,airbnb,True,active,0,,False,,31,4.7,4.7,4.9,4.7,4.6,4.7
4,303873,SL1001 (Zona2),573192868,airbnb.com.br/rooms/1152161662989994169,airbnb,True,active,0,,False,,11,4.5,4.7,4.9,4.7,4.3,4.6
5,303955,BT201 (Zona1),573192722,airbnb.com.br/rooms/1150793577725794950,airbnb,True,active,0,,False,,4,5,5,4.5,5,4.8,5
6,304510,BPremium T5 0406.4 (Barra),573192722,airbnb.com.br/rooms/1150780573436035932,airbnb,True,active,0,,False,,2,3,3,4,3,3,3
7,304513,"Suite, pool and gym | BPremium T2",1381764,airbnb.com.br/rooms/47920760,airbnb,True,active,0,,False,,70,4.6,4.7,4.9,4.6,4.7,4.5
8,305210,RPP913 (Zona2),1381764,airbnb.com.br/rooms/47919850,airbnb,True,active,1,,False,,34,4.7,4.7,4.8,4.8,4.6,4.5
9,306940,NSC1006 (Zona4),573192722,airbnb.com.br/rooms/1150779601864528041,airbnb,True,active,0,,False,,11,4.8,4.8,4.9,4.7,4.6,4.7
10,310379,BR1033 (Zona4),573192868,airbnb.com.br/rooms/1259584908396182021,airbnb,True,active,0,,False,,7,4.9,4.9,5,5,4.9,4.9
11,319247,AC402 (Zona1),66039372,airbnb.com.br/rooms/47270338,airbnb,True,active,0,,False,,63,4.5,4.5,4.9,4.7,4.7,4.7
12,319854,PI903 (Zona4),573192722,airbnb.com.br/rooms/1150778193347399133,airbnb,True,active,1,,False,,12,4.3,4.8,4.7,4.7,4.3,4.4
13,319864,BR1009 (Zona4),573192722,airbnb.com.br/rooms/1150779267155669692,airbnb,True,active,0,,False,,8,4.6,4.6,4.9,4.9,5,4.6
14,320228,PI401 (Zona4),1381764,airbnb.com.br/rooms/285363,airbnb,True,error,2,,True,,133,4.5,4.7,4.5,4.7,4.8,4.8
15,320305,MQC502 (Zona1),573192868,airbnb.com.br/rooms/1260134713093754123,airbnb,True,active,1,,False,,13,4.5,4.5,5,4.4,4.5,4.7
16,320307,PJ204 (Zona4),1381764,airbnb.com.br/rooms/1063491,airbnb,True,active,1,,False,,182,4.7,4.6,4.7,4.8,4.8,4.8
17,320613,GUC6 (Zona1),573192868,airbnb.com.br/rooms/1152162775668925911,airbnb,True,active,0,,False,,3,3.3,4.7,4.3,4.7,3.3,3.3
18,320725,BC706 (Zona2),573192868,airbnb.com.br/rooms/1152160428949076454,airbnb,True,active,1,,False,,14,4.4,4.9,5,4.6,4.4,4.5
19,320730,BUZ215 (ZonaX),659754543,airbnb.com.br/rooms/1289105954505327753,airbnb,True,active,0,,False,,1,4,4,4,4,4,3
20,320879,BR403 (Zona3),573192868,airbnb.com.br/rooms/1260106427122847221,airbnb,True,active,0,,False,,8,4.6,4.8,4.6,4.4,4.6,4.6
21,320888,BT101 (Zona1),66039372,airbnb.com.br/rooms/54054232,airbnb,True,active,0,,False,,2,3,3,5,4,4.5,3
22,321272,GU301 (Zona1),573192868,airbnb.com.br/rooms/1260121971494494327,airbnb,True,active,1,,False,,7,4,4,4.4,4.1,4.1,4.3
23,321274,RDL1112 (Zona4),573192722,airbnb.com.br/rooms/1150789260788841691,airbnb,True,active,1,,False,,6,4.2,4.8,4.8,3.8,4.5,4
24,321275,PM402 (Zona1),573192868,airbnb.com.br/rooms/1260165685801938360,airbnb,True,error,2,,True,,14,3.9,4.6,4.6,3.8,4.1,4.2
25,321276,RPP103 (Zona2),592964680,airbnb.com.br/rooms/1237087964208473388,airbnb,True,active,0,,False,,13,4.2,4.5,4.9,4.5,4.9,4.8
26,321363,DF219 (Zona3),592964680,airbnb.com.br/rooms/1237080290443834735,airbnb,True,active,0,,False,,14,4.7,4.7,5,4.6,4.6,4.6
27,321381,VP604 (Zona1),66039372,airbnb.com.br/rooms/47269507,airbnb,True,active,0,,False,,14,4.2,4.7,4.9,4.4,5,5
28,321390,AS1602 (Barra),1381764,airbnb.com.br/rooms/42358612,airbnb,True,active,1,,False,,64,4.4,4.5,4.7,4.4,4.6,4.4
29,321391,VP305 (Zona1),66039372,airbnb.com.br/rooms/47267597,airbnb,True,active,0,,False,,98,4.6,4.6,4.9,4.7,4.8,4.7
30,322373,BUZ117 (ZonaX),659754543,airbnb.com.br/rooms/1289129005473282923,airbnb,True,active,0,,False,,3,4.7,4.3,5,4.7,4,5
31,322582,NSC902 (Zona3),592964680,airbnb.com.br/rooms/1237072683862132665,airbnb,True,active,0,,False,,11,4.5,4.5,4.7,4.9,4.7,4.5
32,322588,VP802 (Zona1),1381764,airbnb.com.br/rooms/38580242,airbnb,True,active,0,,False,,81,4.6,4.7,4.9,4.8,4.8,4.6
33,323042,FCO501 (Zona2),66039372,airbnb.com.br/rooms/47267624,airbnb,True,active,1,,False,,52,4.6,4.8,4.6,4.7,4.7,4.7
34,323560,JN505 (Zona2),1381764,airbnb.com.br/rooms/635656463389592476,airbnb,True,active,0,,False,,37,4.7,4.8,5,5.0,4.8,4.7
35,323945,NSC601 (Zona2),573192722,airbnb.com.br/rooms/1150778998142558156,airbnb,True,active,0,,False,,17,4.9,5,5,4.9,4.8,4.9
36,328164,BC101 (Zona2),1381764,airbnb.com.br/rooms/47919819,airbnb,True,active,0,,False,,9,4.3,4.1,4.7,4.8,4.7,4.3
37,329023,NSC501 (Zona2),573192722,airbnb.com.br/rooms/1150790696005286776,airbnb,True,active,0,,False,,27,4.7,4.9,5.0,4.7,5.0,4.9
38,333382,SF704 (Zona2),573192868,airbnb.com.br/rooms/1152158148765691314,airbnb,True,active,0,,False,,13,4.2,4.6,3.2,4.5,4.5,4.5
39,333384,GC707 (Zona1),1381764,airbnb.com.br/rooms/47919812,airbnb,True,active,0,,False,,53,4.5,4.6,4.9,4.7,4.5,4.6
40,335691,PF118 (Zona3),573192722,airbnb.com.br/rooms/1150780404254343282,airbnb,True,active,0,,False,,2,4,4,4,4.5,5,5
41,338928,AP204 (Zona1),573192868,airbnb.com.br/rooms/1260111411077916010,airbnb,True,active,0,,False,,22,4.6,4.7,4.9,4.6,4.7,4.6
